x,y,player,team
-14.3878673762,11.8783114196,Gorgui Dieng,MIN
5.20391165202,5.44228642804,Isaiah Canaan,TOTAL
26.3283067195,-5.26770536996,Kelly Olynyk,BOS
10.7358063026,-0.341866824489,Kentavious Caldwell-Pope,DET
-9.59912389002,0.663455515082,Mason Plumlee,BKN
-3.31012059467,18.3951031851,Michael Carter-Williams,PHI
-6.24817291209,4.35983021216,Michael Carter-Williams,TOTAL
22.5314963465,21.4496634481,Otto Porter,WAS
18.6236689855,-0.222449289116,Ray McCallum,SAC
4.50830025958,16.0058760868,Robert Covington,PHI
-15.3766843868,1.28107518411,Rudy Gobert,UTA
14.1625603395,19.8629316693,Shane Larkin,NYK
-18.0352105878,2.41699698343,Steven Adams,OKC
15.3756892125,14.4522640238,Tim Hardaway Jr.,NYK
15.5983123462,-7.44537971897,Tony Snell,CHI
12.7245068468,22.7996959777,Trey Burke,UTA
-7.73665925756,0.328545339578,Victor Oladipo,ORL
6.32292620658,-10.3074407495,Giannis Antetokounmpo,MIL
20.4120600356,2.20832570064,James Ennis,MIA
13.5462278207,-3.52533675664,Matthew Dellavedova,CLE
35.3961873786,10.9548936284,Solomon Hill,IND
31.0252087726,19.450337273,Ryan Kelly,LAL
15.4589274712,6.81318143128,Pero Antic,ATL
-12.3896646094,14.6397339444,Jamal Crawford,LAC
-15.5945716534,-2.07924492643,PJ Hairston,CHA
21.4349834542,22.8495650825,Shabazz Napier,MIA
15.7255378048,5.05634727246,Zach LaVine,MIN
35.7881730187,-1.34601502232,Markel Brown,BKN
-12.1873470203,6.60031862201,Elfrid Payton,ORL
9.67651248844,-10.0983330416,Jordan Clarkson,LAL
3.84946388583,-0.445166341603,KJ McDaniels,PHI
1.37290291851,2.97474176697,KJ McDaniels,TOTAL
19.2583607374,20.8932056399,Nik Stauskas,SAC
19.6455532402,6.34935002486,Rodney Hood,UTA
23.3796451543,23.4670447898,Jerami Grant,PHI
21.9384440542,13.2321372029,Aaron Gordon,ORL
35.8718512737,1.28592648008,Marcus Smart,BOS
35.3453775197,7.06569896466,Andrew Wiggins,MIN
13.4934366098,21.9913222971,Dante Exum,UTA
-7.05049022163,23.1867443363,JaKarr Sampson,PHI
-14.7097127945,2.00377436055,Jusuf Nurkic,DEN
-20.373673109,4.70885012726,Damjan Rudez,IND
-16.3561070306,6.64122604956,Tarik Black,TOTAL
20.4014726267,20.1898964995,Langston Galloway,NYK
28.2810447975,1.1835856882,Joe Ingles,UTA
-25.9862466407,0.621745623567,Tyson Chandler,DAL
12.5013065315,9.05873494346,Pau Gasol,CHI
27.3540585949,3.62508641339,Joe Johnson,BKN
24.2061073141,3.40255404827,Richard Jefferson,DAL
-4.55431171635,-1.87858320836,Zach Randolph,MEM
-16.8718284759,13.175602533,Tony Parker,SAS
-11.655123225,-1.3658324935,Chris Andersen,MIA
6.80553943163,18.4792223258,Mike Dunleavy,CHI
15.090119644,12.4509976657,Drew Gooden,WAS
